"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
0,153,3,-1.0395,1.5113,1.2126
1,153,3,-1.0246,1.5113,1.2253
0,154,3,0.13956,-0.36928,2.1632
1,154,3,0.16609,-0.36928,2.1613
0,155,3,0.94389,1.9799,-0.15503
1,155,3,0.9313,1.9848,-0.16849
2,155,3,0.95602,1.9741,-0.15503
0,156,3,-0.73788,1.8955,0.83524
1,156,3,-0.74759,1.8862,0.84771
2,156,3,-0.76667,1.8671,0.87254
0,157,3,-1.8474,1.1593,-0.27983
1,157,3,-1.8491,1.1593,-0.26849
2,157,3,-1.8577,1.1478,-0.25812
0,158,3,0.15368,-0.28924,2.1744
1,158,3,0.16728,-0.26247,2.1768
2,158,3,0.14045,-0.27586,2.177
0,159,3,1.171,1.7642,0.59297
1,159,3,1.1383,1.7854,0.59297
2,159,3,1.1363,1.7823,0.60595
0,160,3,-0.64061,0.24907,2.0887
1,160,3,-0.64061,0.24907,2.0887
0,161,3,-1.8418,0.98262,0.69104
1,161,3,-1.8343,0.97053,0.72703
2,161,3,-1.8353,0.9584,0.74049
0,162,3,-0.52502,2.0691,0.52774
1,162,3,-0.51308,2.0753,0.51463
0,163,3,-0.80066,1.734,1.0897
1,163,3,-0.79001,1.7388,1.0897
2,163,3,-0.80066,1.734,1.0897
0,164,3,0.44375,0.32932,2.1283
1,164,3,0.44375,0.32932,2.1283
0,165,3,-0.64894,-1.0897,1.7963
1,165,3,-0.64894,-1.0897,1.7963
0,166,3,-0.66456,-1.1707,1.7387
1,166,3,-0.64564,-1.1593,1.7534
2,166,3,-0.63966,-1.1362,1.7706
0,167,3,-1.8168,-0.75981,0.97828
1,167,3,-1.8269,-0.74713,0.96928
2,167,3,-1.8427,-0.73443,0.94887
0,168,3,-1.0325,-0.63185,1.8357
1,168,3,-1.0231,-0.61891,1.8454
2,168,3,-1.0212,-0.63185,1.842
0,169,3,-0.85625,2.0145,0.20882
1,169,3,-0.84337,2.0185,0.22224
2,169,3,-0.81853,2.0287,0.22224
0,170,3,-0.6143,2.0477,0.51463
1,170,3,-0.63938,2.04,0.51463
2,170,3,-0.61607,2.0536,0.48836
0,171,3,0.19632,1.0306,-1.9325
1,171,3,0.18386,1.0425,-1.9273
2,171,3,0.18623,0.99467,-1.9522
0,172,3,0.30658,1.3153,-1.7353
1,172,3,0.33083,1.2936,-1.7471
0,173,3,-0.47557,1.5501,1.4853
1,173,3,-0.49055,1.5308,1.5004
2,173,3,-0.52116,1.5211,1.4999
0,174,3,-0.47357,-0.18194,2.1396
1,174,3,-0.46066,-0.16849,2.1435
2,174,3,-0.47401,-0.15503,2.1416
0,175,3,0.24208,1.9144,-1.0544
1,175,3,0.25297,1.9064,-1.0662
2,175,3,0.26466,1.9048,-1.0662
0,176,3,0.12752,-0.20881,2.1852
1,176,3,0.11404,-0.22224,2.1847
2,176,3,0.12752,-0.20881,2.1852
0,177,3,0.35939,0.92181,-1.9637
1,177,3,0.34831,0.90955,-1.9714
0,178,3,-0.072813,-0.42236,2.1567
1,178,3,-0.046396,-0.40912,2.16
2,178,3,-0.046396,-0.40912,2.16
0,179,3,-1.0231,1.9,-0.42236
1,179,3,-1.0231,1.9,-0.42236
2,179,3,-1.0231,1.9,-0.42236
0,180,3,0.32081,0.77246,-2.0336
1,180,3,0.32154,0.75981,-2.0382
0,181,3,-1.1493,-0.51463,1.8026
1,181,3,-1.1382,-0.51463,1.8096
2,181,3,-1.1365,-0.52774,1.8069
0,182,3,0.51026,0.9584,-1.9121
1,182,3,0.52042,0.97053,-1.9033
2,182,3,0.53835,0.92181,-1.9224
0,183,3,-0.7652,1.8315,0.94624
1,183,3,-0.75173,1.8307,0.9584
2,183,3,-0.73827,1.8298,0.97053
0,184,3,-0.69607,2.0855,-0.033729
1,184,3,-0.69613,2.0857,-0.020238
2,184,3,-0.69613,2.0857,-0.020238
0,185,3,-0.0066826,-0.30261,2.178
1,185,3,-0.020046,-0.30261,2.1779
2,185,3,-0.020029,-0.31597,2.176
0,186,3,1.4688,-0.28924,-1.6106
1,186,3,1.4477,-0.30261,-1.6272
2,186,3,1.4663,-0.31597,-1.6079
0,187,3,0.10026,1.0662,-1.9205
1,187,3,0.12423,1.0544,-1.9256
0,188,3,0.16539,1.1707,-1.854
1,188,3,0.17676,1.1707,-1.8529
2,188,3,0.17676,1.1707,-1.8529
0,189,3,-0.21908,-2.0324,0.81022
1,189,3,-0.23155,-2.031,0.81022
2,189,3,-0.244,-2.0296,0.81022
0,190,3,-0.22572,2.094,-0.63185
1,190,3,-0.22613,2.0978,-0.61891
2,190,3,-0.22572,2.094,-0.63185
0,191,3,-0.61826,-0.10116,2.1078
1,191,3,-0.61826,-0.10116,2.1078
0,192,3,-1.1201,1.3687,1.3066
1,192,3,-1.136,1.3687,1.2927
2,192,3,-1.1281,1.3368,1.3324
0,193,3,1.0694,1.9014,0.27586
1,193,3,1.1043,1.8814,0.27586
0,194,3,0.2081,-0.18194,2.1815
1,194,3,0.19471,-0.18194,2.1827
2,194,3,0.2082,-0.16849,2.1825
0,195,3,-0.65414,1.9206,0.84771
1,195,3,-0.67766,1.9124,0.84771
2,195,3,-0.67766,1.9124,0.84771
0,196,3,-0.13722,-0.54083,2.1269
1,196,3,-0.12397,-0.5539,2.1244
2,196,3,-0.11111,-0.54083,2.1285
0,197,3,0.45592,0.35597,2.1215
1,197,3,0.45592,0.35597,2.1215
0,198,3,-0.30032,2.0683,-0.68334
1,198,3,-0.31363,2.0706,-0.67051
2,198,3,-0.31424,2.0746,-0.65765
0,199,3,0.41705,0.94624,-1.9406
1,199,3,0.40631,0.93405,-1.9487
0,200,3,-1.9192,1.0425,-0.25467
1,200,3,-1.9302,1.0187,-0.26818
2,200,3,-1.9239,1.0306,-0.26732
0,201,3,-1.8013,1.1707,0.46887
1,201,3,-1.7984,1.1707,0.47991
2,201,3,-1.7914,1.1821,0.47805
0,202,3,-0.77825,2.0361,0.28924
1,202,3,-0.75321,2.0455,0.28924
2,202,3,-0.74002,2.0484,0.30261
0,203,3,-1.8327,1.0425,0.6242
1,203,3,-1.8249,1.0425,0.64664
2,203,3,-1.8327,1.0425,0.6242
0,204,3,-0.68728,-1.2495,1.6737
1,204,3,-0.69018,-1.2384,1.6808
2,204,3,-0.68728,-1.2495,1.6737
0,205,3,-1.0172,1.6622,1.0187
1,205,3,-1.0274,1.6559,1.0187
2,205,3,-1.0172,1.6622,1.0187
0,206,3,-0.24574,2.044,0.77246
1,206,3,-0.24574,2.044,0.77246
2,206,3,-0.24517,2.0393,0.78507
0,207,3,-0.86516,1.968,0.46201
1,207,3,-0.88924,1.9573,0.46201
2,207,3,-0.86628,1.9706,0.44881
0,208,3,0.16049,1.5211,-1.5798
1,208,3,0.17018,1.5211,-1.5787
0,209,3,0.097767,1.6753,1.4209
1,209,3,0.097767,1.6753,1.4209
0,210,3,-0.71462,-1.0897,1.7712
1,210,3,-0.69524,-1.078,1.786
2,210,3,-0.72547,-1.0897,1.7667
0,211,3,-0.20331,-0.50151,2.1313
1,211,3,-0.21607,-0.51463,2.1269
0,212,3,0.23098,0.82275,-2.0261
1,212,3,0.25582,0.82275,-2.0231
2,212,3,0.25519,0.83524,-2.018
0,213,3,-1.1125,-0.54083,1.818
1,213,3,-1.1013,-0.54083,1.8247
2,213,3,-1.0901,-0.54083,1.8315
0,214,3,-0.78477,2.0532,0.060708
