"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
3,46,3,-0.43351,-1.6655,1.3687
4,46,3,-0.43351,-1.6655,1.3687
4,46,3,-0.43351,-1.6655,1.3687
0,47,3,-1.0325,1.8357,-0.63185
0,47,3,-1.0325,1.8357,-0.63185
1,47,3,-1.0325,1.8357,-0.63185
1,47,3,-1.0249,1.8487,-0.60595
2,47,3,-1.0249,1.8487,-0.60595
2,47,3,-1.0249,1.8487,-0.60595
3,47,3,-1.0249,1.8487,-0.60595
3,47,3,-1.0231,1.8454,-0.61891
4,47,3,-1.0231,1.8454,-0.61891
4,47,3,-1.0231,1.8454,-0.61891
0,48,3,-0.98158,0.10116,1.965
0,48,3,-0.98158,0.10116,1.965
1,48,3,-0.98158,0.10116,1.965
1,48,3,-0.92056,0.11463,1.9936
2,48,3,-0.92056,0.11463,1.9936
2,48,3,-0.92056,0.11463,1.9936
3,48,3,-0.92056,0.11463,1.9936
3,48,3,-1.0419,0.074193,1.935
4,48,3,-1.0419,0.074193,1.935
4,48,3,-1.0419,0.074193,1.935
0,49,3,-1.048,1.8633,0.51463
0,49,3,-1.048,1.8633,0.51463
1,49,3,-1.048,1.8633,0.51463
1,49,3,-1.1024,1.8521,0.4356
2,49,3,-1.1024,1.8521,0.4356
2,49,3,-1.1024,1.8521,0.4356
3,49,3,-1.1024,1.8521,0.4356
3,49,3,-1.0809,1.8677,0.42237
4,49,3,-1.0809,1.8677,0.42237
4,49,3,-1.0809,1.8677,0.42237
0,50,3,-0.040276,-1.8751,1.1478
0,50,3,-0.040276,-1.8751,1.1478
1,50,3,-0.040276,-1.8751,1.1478
1,50,3,-0.028661,-1.8683,1.1593
0,51,3,-0.62221,2.074,-0.38257
0,51,3,-0.62221,2.074,-0.38257
1,51,3,-0.62221,2.074,-0.38257
1,51,3,-0.6356,2.0724,-0.36928
2,51,3,-0.6356,2.0724,-0.36928
2,51,3,-0.6356,2.0724,-0.36928
3,51,3,-0.6356,2.0724,-0.36928
3,51,3,-0.64961,2.0726,-0.34265
4,51,3,-0.64961,2.0726,-0.34265
4,51,3,-0.64961,2.0726,-0.34265
0,52,3,-0.31697,-2.0092,0.83524
0,52,3,-0.31697,-2.0092,0.83524
1,52,3,-0.31697,-2.0092,0.83524
1,52,3,-0.35209,-1.9928,0.86014
2,52,3,-0.35209,-1.9928,0.86014
2,52,3,-0.35209,-1.9928,0.86014
3,52,3,-0.35209,-1.9928,0.86014
3,52,3,-0.38769,-1.9808,0.87254
4,52,3,-0.38769,-1.9808,0.87254
4,52,3,-0.38769,-1.9808,0.87254
0,53,3,0.076154,1.9084,-1.0897
0,53,3,0.076154,1.9084,-1.0897
1,53,3,0.076154,1.9084,-1.0897
1,53,3,0.11165,1.9133,-1.078
0,54,3,1.1097,1.2472,1.4311
0,54,3,1.1097,1.2472,1.4311
1,54,3,1.1097,1.2472,1.4311
1,54,3,1.0943,1.2608,1.4311
2,54,3,1.0943,1.2608,1.4311
2,54,3,1.0943,1.2608,1.4311
3,54,3,1.0943,1.2608,1.4311
3,54,3,1.0962,1.2474,1.4414
4,54,3,1.0962,1.2474,1.4414
4,54,3,1.0962,1.2474,1.4414
0,55,3,-1.8082,1.1593,-0.47067
0,55,3,-1.8082,1.1593,-0.47067
1,55,3,-1.8082,1.1593,-0.47067
1,55,3,-1.8139,1.1593,-0.44844
2,55,3,-1.8139,1.1593,-0.44844
2,55,3,-1.8139,1.1593,-0.44844
3,55,3,-1.8139,1.1593,-0.44844
3,55,3,-1.8069,1.1707,-0.44673
4,55,3,-1.8069,1.1707,-0.44673
4,55,3,-1.8069,1.1707,-0.44673
0,56,3,-0.077196,1.9345,-1.0425
0,56,3,-0.077196,1.9345,-1.0425
1,56,3,-0.077196,1.9345,-1.0425
1,56,3,-0.017992,1.9548,-1.0067
2,56,3,-0.017992,1.9548,-1.0067
2,56,3,-0.017992,1.9548,-1.0067
3,56,3,-0.017992,1.9548,-1.0067
3,56,3,-0.018049,1.961,-0.99467
4,56,3,-0.018049,1.961,-0.99467
4,56,3,-0.018049,1.961,-0.99467
0,57,3,0.24363,1.4002,-1.6779
0,57,3,0.24363,1.4002,-1.6779
1,57,3,0.24363,1.4002,-1.6779
1,57,3,0.23333,1.4002,-1.6793
2,57,3,0.23333,1.4002,-1.6793
2,57,3,0.23333,1.4002,-1.6793
3,57,3,0.23333,1.4002,-1.6793
3,57,3,0.23684,1.3687,-1.7046
4,57,3,0.23684,1.3687,-1.7046
4,57,3,0.23684,1.3687,-1.7046
0,58,3,-0.43735,1.7235,1.2936
0,58,3,-0.43735,1.7235,1.2936
1,58,3,-0.43735,1.7235,1.2936
1,58,3,-0.38494,1.7912,1.216
0,59,3,-0.95522,1.4515,1.3475
0,59,3,-0.95522,1.4515,1.3475
1,59,3,-0.95522,1.4515,1.3475
1,59,3,-0.92015,1.4717,1.35
2,59,3,-0.92015,1.4717,1.35
2,59,3,-0.92015,1.4717,1.35
3,59,3,-0.92015,1.4717,1.35
3,59,3,-0.93353,1.4616,1.3518
4,59,3,-0.93353,1.4616,1.3518
4,59,3,-0.93353,1.4616,1.3518
0,60,3,1.3428,1.7098,0.32932
0,60,3,1.3428,1.7098,0.32932
1,60,3,1.3428,1.7098,0.32932
1,60,3,1.3579,1.7074,0.27586
2,60,3,1.3579,1.7074,0.27586
2,60,3,1.3579,1.7074,0.27586
3,60,3,1.3579,1.7074,0.27586
3,60,3,1.3463,1.7143,0.28924
4,60,3,1.3463,1.7143,0.28924
4,60,3,1.3463,1.7143,0.28924
0,61,3,1.0207,1.0425,-1.6452
